"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Cost","Sale Price","Margin"
"210000000007","","","https://www.usedgames.ca/vietnam-1965-1975.html","5620","Vietnam 1965-1975 (1984) (used)","1","$0.00","$0.00","$44.95","100%"
"210000000009","","","https://www.usedgames.ca/sixth-fleet.html","2073","Sixth Fleet: Modern Naval Combat in the Mediterranean (1985) (used)","1","$0.00","$0.00","$49.95","100%"
"210000000010","045708008729","","https://www.usedgames.ca/tac-air.html","3712","Tac Air (1987) (used)","1","$0.00","$0.00","$49.95","100%"
"210000000011","050758300280","","https://www.usedgames.ca/tokyo-express.html","1681","Tokyo Express: The Guadalcanal Naval Campaign – 1942 (1988) (used)","1","$0.00","$0.00","$99.95","100%"
"210000000012","","","https://www.usedgames.ca/sorry.html?source=bgg","2407","Sorry! (1929) (Made in 1972) (used)","1","$0.00","$0.00","$9.95","100%"
"210000000015","810270030825","","","","Unstable Unicorns (2017)","1","$0.00","$0.00","$9.95","100%"
"210000000016","810270030849","","","","Unstable Unicorns NSFW Expansion Pack (2017)","1","$0.00","$0.00","$4.95","100%"
"210000000017","088234837753","","","","Burgle Bros (2015)","1","$0.00","$0.00","$44.95","100%"
"210000000018","700304049018","","","","Codenames Disney (2017)","1","$0.00","$0.00","$14.95","100%"
"210000000024","210000000024","","https://www.usedgames.ca/caveman.html?source=bgg","32253","Caveman (2007) (used)","1","$0.00","$0.00","$39.95","100%"
"210000000025","069545046003","","https://www.usedgames.ca/sports-franchise.html?source=bgg","6676","Sports Franchise (1988) (used)","1","$0.00","$0.00","$29.95","100%"
"210000000029","029877004836","","https://www.usedgames.ca/the-settlers-of-catan-board-game-200334291487-used.html","13","CATAN (1995) (3rd ed 2003) (Settlers of Catan) (used)","1","$0.00","$0.00","$29.95","100%"
"210000000030","210000000030","","https://www.usedgames.ca/scrabble.html?source=bgg","320","Scrabble (1948) (Made in 1953) (used)","1","$0.00","$0.00","$14.95","100%"
"210000000031","631080119674","","https://www.usedgames.ca/ticked-off.html?source=bgg","69973","Ticked Off (2011) (used)","1","$0.00","$0.00","$14.95","100%"
"210000000032","071404310750","","https://www.usedgames.ca/pente.html?source=bgg","1295","Pente (1977) (Made in 2004) (used)","1","$0.00","$0.00","$19.95","100%"
"210000000033","032244041013","","https://www.usedgames.ca/hero-quest.html?source=bgg","699","HeroQuest (1989)","1","$0.00","$0.00","$199.95","100%"
"210000000034","669165001354","","https://www.usedgames.ca/pirates-of-the-caribbean.html?source=bgg","23694","Pirates of the Caribbean DVD Treasure Hunt (2006)","1","$0.00","$0.00","$14.95","100%"
"210000000036","","","https://www.usedgames.ca/napoleon-at-leipzig.html?source=bgg","10183","Napoleon at Leipzig (1979)","1","$0.00","$0.00","$59.95","100%"
"210000000038","046363030162","","https://www.usedgames.ca/napoleans-last-battles.html","4230","Napoleon's Last Battles (1976)  (Made in 1984) (used)","1","$0.00","$0.00","$59.95","100%"
"210000000039","","","https://www.usedgames.ca/operation-market-garden.html?source=bgg","6813","Operation Market Garden: Descent into Hell (1985)","1","$0.00","$0.00","$14.95","100%"
"210000000041","","","https://www.usedgames.ca/war-and-peace.html?source=bgg","626","War and Peace (1980)","1","$0.00","$0.00","$24.95","100%"
"210000000043","","","https://www.usedgames.ca/trivial-pursuit.html","2953","Trivial Pursuit: Genus II (1984)    (Master Game - Genus 2 Edition) (used)","1","$0.00","$0.00","$19.95","100%"
"210000000045","","","https://www.usedgames.ca/trivial-pursuit-34439241.html","16131","Trivial Pursuit: Baby Boomer Master Game (1981) (used)","1","$0.00","$0.00","$29.95","100%"
